modelname,loss
GAT-0,"tensor(0.0106, device='cuda:0', dtype=torch.float64)"
GAT-1,"tensor(0.0083, device='cuda:0', dtype=torch.float64)"
GAT-10,"tensor(0.0092, device='cuda:0', dtype=torch.float64)"
GAT-11,"tensor(0.0076, device='cuda:0', dtype=torch.float64)"
GAT-12,"tensor(0.0062, device='cuda:0', dtype=torch.float64)"
GAT-13,"tensor(0.0075, device='cuda:0', dtype=torch.float64)"
GAT-14,"tensor(0.0089, device='cuda:0', dtype=torch.float64)"
GAT-15,"tensor(0.0101, device='cuda:0', dtype=torch.float64)"
GAT-16,"tensor(0.0088, device='cuda:0', dtype=torch.float64)"
GAT-17,"tensor(0.0056, device='cuda:0', dtype=torch.float64)"
GAT-18,"tensor(0.0089, device='cuda:0', dtype=torch.float64)"
GAT-19,"tensor(0.0069, device='cuda:0', dtype=torch.float64)"
GAT-2,"tensor(0.0087, device='cuda:0', dtype=torch.float64)"
GAT-20,"tensor(0.0095, device='cuda:0', dtype=torch.float64)"
GAT-21,"tensor(0.0069, device='cuda:0', dtype=torch.float64)"
GAT-22,"tensor(0.0076, device='cuda:0', dtype=torch.float64)"
GAT-23,"tensor(0.0077, device='cuda:0', dtype=torch.float64)"
GAT-24,"tensor(0.0067, device='cuda:0', dtype=torch.float64)"
GAT-3,"tensor(0.0069, device='cuda:0', dtype=torch.float64)"
GAT-4,"tensor(0.0069, device='cuda:0', dtype=torch.float64)"
GAT-5,"tensor(0.0090, device='cuda:0', dtype=torch.float64)"
GAT-6,"tensor(0.0071, device='cuda:0', dtype=torch.float64)"
GAT-7,"tensor(0.0072, device='cuda:0', dtype=torch.float64)"
GAT-8,"tensor(0.0059, device='cuda:0', dtype=torch.float64)"
GAT-9,"tensor(0.0080, device='cuda:0', dtype=torch.float64)"
